post_id,raw_slug,reason,details
1780,"hoffman-harvesting",not_gd_place,"listing"
1781,"schelske-harvesting",not_gd_place,"listing"
1782,"jrs-harvesting-inc",not_gd_place,"listing"
1783,"collins-harvesting",not_gd_place,"listing"
1784,"shepherd-harvesting",not_gd_place,"listing"
1785,"miles-harvesting",not_gd_place,"listing"
1786,"ebbers-custom-forage",not_gd_place,"listing"
1787,"tims-veterinary-service",not_gd_place,"listing"
1788,"windhorse-veterinary-clinic",not_gd_place,"listing"
1789,"belle-fourche-veterinary-clinic",not_gd_place,"listing"
1790,"britton-veterinary-clinic",not_gd_place,"listing"
1791,"mid-river-veterinary-clinic",not_gd_place,"listing"
1792,"cross-country-vets",not_gd_place,"listing"
1793,"clear-lake-veterinary-clinic",not_gd_place,"listing"
1794,"southern-hills-animal-clinic",not_gd_place,"listing"
1795,"oahe-veterinary-clinic",not_gd_place,"listing"
1796,"praire-view-veterinary-clinic",not_gd_place,"listing"
1797,"barnyard-veterinary-service-supply",not_gd_place,"listing"
1798,"lake-veterinary-clinic",not_gd_place,"listing"
1799,"dakota-veterinary-clinic",not_gd_place,"listing"
1800,"creekside-veterinary-clinic",not_gd_place,"listing"
1801,"parker-vet-clinic",not_gd_place,"listing"
1802,"pleasant-lake-veterinary-clinic",not_gd_place,"listing"
1803,"montrose-veterinary-clinic",not_gd_place,"listing"
1804,"selby-vet-service",not_gd_place,"listing"
1805,"dakota-large-small-animal-clinic",not_gd_place,"listing"
1806,"sturgis-veterinary-hospital",not_gd_place,"listing"
1807,"cedar-county-veterinary-services",not_gd_place,"listing"
1808,"howard-veterinary-clinic",not_gd_place,"listing"
1809,"webster-veterinary-clinic",not_gd_place,"listing"
1810,"animal-clinic-ltd",not_gd_place,"listing"
1811,"sand-creek-animal-clinic",not_gd_place,"listing"
1812,"bowers-trucking-inc",not_gd_place,"listing"
1813,"heeren-trucking",not_gd_place,"listing"
1814,"anderson-wendell-trucking",not_gd_place,"listing"
1815,"brad-vanderwal-trucking-llc",not_gd_place,"listing"
1816,"goodman-trucking",not_gd_place,"listing"
1817,"mikes-beef-transport",not_gd_place,"listing"
1818,"patrick-breen-trucking",not_gd_place,"listing"
1819,"j-w-simon-cattle-company-inc",not_gd_place,"listing"
1820,"feldhause-trucking-inc",not_gd_place,"listing"
1821,"bd-trucking-inc",not_gd_place,"listing"
1822,"bear-creek-trucking",not_gd_place,"listing"
1823,"oldenkamp-trucking",not_gd_place,"listing"
1824,"dj-bultsma-truckline",not_gd_place,"listing"
1825,"buffalo-chip-trucking",not_gd_place,"listing"
1826,"brandner-bros-trucking-farms",not_gd_place,"listing"
1827,"neugebaur-trucking",not_gd_place,"listing"
